Subsector ID,Subsector,Sector ID,Sector,Year,Companies,Number of Employees LCI
322,Industria del Papel,31-33,Industrias Manufactureras,2020,12804,151968
322,Industria del Papel,31-33,Industrias Manufactureras,2021,12879,160880
322,Industria del Papel,31-33,Industrias Manufactureras,2022,12890,159083
323,Impresión e Industrias Conexas,31-33,Industrias Manufactureras,2015,20750,61769
323,Impresión e Industrias Conexas,31-33,Industrias Manufactureras,2016,43028,127077
323,Impresión e Industrias Conexas,31-33,Industrias Manufactureras,2017,43285,126160
323,Impresión e Industrias Conexas,31-33,Industrias Manufactureras,2018,43356,126498
323,Impresión e Industrias Conexas,31-33,Industrias Manufactureras,2019,41243,120111
323,Impresión e Industrias Conexas,31-33,Industrias Manufactureras,2020,39792,123150
323,Impresión e Industrias Conexas,31-33,Industrias Manufactureras,2021,39865,123111
323,Impresión e Industrias Conexas,31-33,Industrias Manufactureras,2022,39902,122433
324,Fabricación de Productos Derivados del Petróleo y del Carbón,31-33,Industrias Manufactureras,2015,265,6831
324,Fabricación de Productos Derivados del Petróleo y del Carbón,31-33,Industrias Manufactureras,2016,509,15974
324,Fabricación de Productos Derivados del Petróleo y del Carbón,31-33,Industrias Manufactureras,2017,556,16226
324,Fabricación de Productos Derivados del Petróleo y del Carbón,31-33,Industrias Manufactureras,2018,565,15773
324,Fabricación de Productos Derivados del Petróleo y del Carbón,31-33,Industrias Manufactureras,2019,558,14576
324,Fabricación de Productos Derivados del Petróleo y del Carbón,31-33,Industrias Manufactureras,2020,569,14585
324,Fabricación de Productos Derivados del Petróleo y del Carbón,31-33,Industrias Manufactureras,2021,617,17124
324,Fabricación de Productos Derivados del Petróleo y del Carbón,31-33,Industrias Manufactureras,2022,588,16913
325,Industria Química,31-33,Industrias Manufactureras,2015,4731,114761
325,Industria Química,31-33,Industrias Manufactureras,2016,9917,255317
325,Industria Química,31-33,Industrias Manufactureras,2017,10159,255673
325,Industria Química,31-33,Industrias Manufactureras,2018,10242,261092
325,Industria Química,31-33,Industrias Manufactureras,2019,10931,257925
325,Industria Química,31-33,Industrias Manufactureras,2020,11592,262017
325,Industria Química,31-33,Industrias Manufactureras,2021,11854,278189
325,Industria Química,31-33,Industrias Manufactureras,2022,11887,278049
326,Industria del Plástico y del Hule,31-33,Industrias Manufactureras,2015,5671,160334
326,Industria del Plástico y del Hule,31-33,Industrias Manufactureras,2016,12242,347921
326,Industria del Plástico y del Hule,31-33,Industrias Manufactureras,2017,12596,357075
326,Industria del Plástico y del Hule,31-33,Industrias Manufactureras,2018,12768,366635
326,Industria del Plástico y del Hule,31-33,Industrias Manufactureras,2019,12753,375838
326,Industria del Plástico y del Hule,31-33,Industrias Manufactureras,2020,12987,391309
326,Industria del Plástico y del Hule,31-33,Industrias Manufactureras,2021,13249,408090
326,Industria del Plástico y del Hule,31-33,Industrias Manufactureras,2022,13278,405297
