State ID,State,Investment Type,Year,Country ID,Country,Investment
1,Aguascalientes,Nuevas inversiones,2003,ita,Italy,-0.08407799899578094
1,Aguascalientes,Nuevas inversiones,2003,jpn,Japan,10.362957954406738
1,Aguascalientes,Nuevas inversiones,2003,nld,Netherlands,-6.558530807495117
1,Aguascalientes,Nuevas inversiones,2003,pri,Puerto Rico,0.09495899826288223
1,Aguascalientes,Nuevas inversiones,2003,usa,United States,28.4506778717041
1,Aguascalientes,Nuevas inversiones,2004,can,Canada,1.0274900197982788
1,Aguascalientes,Nuevas inversiones,2004,che,Switzerland,2.1906239986419678
1,Aguascalientes,Nuevas inversiones,2004,esp,Spain,53.57602310180664
1,Aguascalientes,Nuevas inversiones,2004,fra,France,2.297187089920044
1,Aguascalientes,Nuevas inversiones,2004,jpn,Japan,212.99325561523438
1,Aguascalientes,Nuevas inversiones,2004,nld,Netherlands,50.832759857177734
1,Aguascalientes,Nuevas inversiones,2004,pri,Puerto Rico,0.06396699696779251
1,Aguascalientes,Nuevas inversiones,2004,usa,United States,37.055049896240234
1,Aguascalientes,Nuevas inversiones,2005,can,Canada,2.710869073867798
1,Aguascalientes,Nuevas inversiones,2005,che,Switzerland,0.03942500054836273
1,Aguascalientes,Nuevas inversiones,2005,esp,Spain,0.8961880207061768
1,Aguascalientes,Nuevas inversiones,2005,fra,France,-43.370941162109375
1,Aguascalientes,Nuevas inversiones,2005,gbr,United Kingdom,0.10978800058364868
1,Aguascalientes,Nuevas inversiones,2005,jpn,Japan,88.17224884033203
1,Aguascalientes,Nuevas inversiones,2005,nld,Netherlands,-0.12945400178432465
1,Aguascalientes,Nuevas inversiones,2005,pri,Puerto Rico,0.29635998606681824
1,Aguascalientes,Nuevas inversiones,2005,usa,United States,19.198373794555664
1,Aguascalientes,Nuevas inversiones,2006,can,Canada,0.05621799826622009
1,Aguascalientes,Nuevas inversiones,2006,che,Switzerland,-0.0009679999784566462
1,Aguascalientes,Nuevas inversiones,2006,deu,Germany,0.9733780026435852
1,Aguascalientes,Nuevas inversiones,2006,esp,Spain,3.0026299953460693
1,Aguascalientes,Nuevas inversiones,2006,fra,France,-3.2207839488983154
1,Aguascalientes,Nuevas inversiones,2006,gbr,United Kingdom,0.02804500050842762
1,Aguascalientes,Nuevas inversiones,2006,jpn,Japan,28.299972534179688
1,Aguascalientes,Nuevas inversiones,2006,kor,South Korea,0.009204999543726444
1,Aguascalientes,Nuevas inversiones,2006,nld,Netherlands,-0.0002229999954579398
1,Aguascalientes,Nuevas inversiones,2006,pri,Puerto Rico,0.13382799923419952
1,Aguascalientes,Nuevas inversiones,2006,usa,United States,2.9986860752105713
1,Aguascalientes,Nuevas inversiones,2007,can,Canada,0.25404098629951477
1,Aguascalientes,Nuevas inversiones,2007,che,Switzerland,0.0009629999985918403
1,Aguascalientes,Nuevas inversiones,2007,esp,Spain,33.4089469909668
1,Aguascalientes,Nuevas inversiones,2007,fra,France,-0.36511000990867615
1,Aguascalientes,Nuevas inversiones,2007,gbr,United Kingdom,-0.12648999691009521
1,Aguascalientes,Nuevas inversiones,2007,jpn,Japan,134.3456268310547
1,Aguascalientes,Nuevas inversiones,2007,kor,South Korea,5.116339206695557
1,Aguascalientes,Nuevas inversiones,2007,nld,Netherlands,0.30947500467300415
1,Aguascalientes,Nuevas inversiones,2007,usa,United States,147.4470672607422
1,Aguascalientes,Nuevas inversiones,2008,esp,Spain,9.134892463684082
1,Aguascalientes,Nuevas inversiones,2008,fra,France,-1.047260046005249
1,Aguascalientes,Nuevas inversiones,2008,gbr,United Kingdom,0.010129000060260296
1,Aguascalientes,Nuevas inversiones,2008,ind,India,-0.000007999999979801942
1,Aguascalientes,Nuevas inversiones,2008,jpn,Japan,8.77391529083252
1,Aguascalientes,Nuevas inversiones,2008,nld,Netherlands,-0.13989399373531342
1,Aguascalientes,Nuevas inversiones,2008,usa,United States,6.81728982925415
1,Aguascalientes,Nuevas inversiones,2009,can,Canada,1.7586727142333984
1,Aguascalientes,Nuevas inversiones,2009,deu,Germany,1.9817639589309692
