State ID,State,Year,Sector ID,Sector,Investment
1,Aguascalientes,2018,31-33,Manufacturing Industries,959.8398380279541
1,Aguascalientes,2018,43,To the Wholesale Trade,3.857229471206665
1,Aguascalientes,2018,46,Retail Trade,8.767744064331055
1,Aguascalientes,2018,48-49,Transportation and Storage,44.608102440834045
1,Aguascalientes,2018,51,Mass Media Information,6.368441581726074
1,Aguascalientes,2018,52,Financial and Insurance Services,9.257556915283203
1,Aguascalientes,2018,54,"Services Professionals, Scientists and Technicals",-34.87992858886719
1,Aguascalientes,2018,81,Other Services except Government Activities,0.0005908000166527927
1,Aguascalientes,2019,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",-21.807458877563477
1,Aguascalientes,2019,23,Building,-11.145354270935059
1,Aguascalientes,2019,31-33,Manufacturing Industries,290.37621307373047
1,Aguascalientes,2019,43,To the Wholesale Trade,102.12326049804688
1,Aguascalientes,2019,46,Retail Trade,8.044293403625488
1,Aguascalientes,2019,48-49,Transportation and Storage,14.735709190368652
1,Aguascalientes,2019,51,Mass Media Information,14.182868957519531
1,Aguascalientes,2019,52,Financial and Insurance Services,26.961463928222656
1,Aguascalientes,2019,54,"Services Professionals, Scientists and Technicals",11.817216873168945
1,Aguascalientes,2019,56,Support Services to Business and Waste Management and Waste and Remediation Services,-0.022867169231176376
1,Aguascalientes,2020,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",-147.80731201171875
1,Aguascalientes,2020,23,Building,14.55148696899414
1,Aguascalientes,2020,31-33,Manufacturing Industries,728.2349052429199
1,Aguascalientes,2020,43,To the Wholesale Trade,38.951358795166016
1,Aguascalientes,2020,46,Retail Trade,8.85811710357666
1,Aguascalientes,2020,48-49,Transportation and Storage,30.911596298217773
1,Aguascalientes,2020,51,Mass Media Information,16.395174026489258
1,Aguascalientes,2020,52,Financial and Insurance Services,36.83344268798828
1,Aguascalientes,2020,54,"Services Professionals, Scientists and Technicals",18.064712524414063
1,Aguascalientes,2020,56,Support Services to Business and Waste Management and Waste and Remediation Services,-2.3029186725616455
1,Aguascalientes,2021,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",-34.99846267700195
1,Aguascalientes,2021,31-33,Manufacturing Industries,-114.49117815494537
1,Aguascalientes,2021,43,To the Wholesale Trade,79.5657730102539
1,Aguascalientes,2021,46,Retail Trade,5.947988510131836
1,Aguascalientes,2021,48-49,Transportation and Storage,54.827880859375
1,Aguascalientes,2021,51,Mass Media Information,4.699610233306885
1,Aguascalientes,2021,52,Financial and Insurance Services,28.9440975189209
1,Aguascalientes,2021,54,"Services Professionals, Scientists and Technicals",11.89926528930664
1,Aguascalientes,2021,56,Support Services to Business and Waste Management and Waste and Remediation Services,-0.33646389842033386
1,Aguascalientes,2022,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",-30.012325286865234
1,Aguascalientes,2022,23,Building,29.437055587768555
1,Aguascalientes,2022,31-33,Manufacturing Industries,369.3431043624878
1,Aguascalientes,2022,43,To the Wholesale Trade,28.72147560119629
1,Aguascalientes,2022,46,Retail Trade,4.764880180358887
1,Aguascalientes,2022,48-49,Transportation and Storage,64.16674041748047
1,Aguascalientes,2022,51,Mass Media Information,-23.349153518676758
1,Aguascalientes,2022,52,Financial and Insurance Services,18.203893661499023
1,Aguascalientes,2022,54,"Services Professionals, Scientists and Technicals",-0.09720273315906525
2,Baja California,1999,11,"Agriculture, Animal Husbandry and Exploitation, Forestry, Fishing and Hunting",-0.3285199999809265
2,Baja California,1999,21,Mining,0.014348000288009644
2,Baja California,1999,23,Building,11.274456024169922
2,Baja California,1999,31-33,Manufacturing Industries,838.6882438659668
2,Baja California,1999,43,To the Wholesale Trade,49.8979606628418
2,Baja California,1999,46,Retail Trade,3.668884038925171
2,Baja California,1999,48-49,Transportation and Storage,69.26831532269716
2,Baja California,1999,51,Mass Media Information,6.457971096038818
2,Baja California,1999,52,Financial and Insurance Services,2.049114942550659
2,Baja California,1999,53,Real Estate and Rental Services of Furniture and Intangible Assets,0.21139200031757355
